Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AM,1304302,Urucará,,,,,2,,,,1,2,,1,2,,1,,,1,4,2,3,2,1,1,2,2,4,3,3
AM,1304401,Urucurituba,1,,,,,,1,,,2,1,1,,,1,,,1,,1,,3,1,5,2,3,2,3,1
AP,1600055,Serra do Navio,,,,1,,,,,1,,,1,2,1,1,,1,,,,1,1,1,2,,2,1,1,
AP,1600105,Amapá,,,5,,1,,,,,2,2,,1,,3,,2,1,1,1,2,2,2,1,1,1,1,1,3
AP,1600154,Pedra Branca do Amaparí,,,4,2,,,1,,,,,1,1,3,2,1,1,,,2,5,2,6,1,3,2,1,1,2
AP,1600204,Calçoene,2,3,1,1,1,,1,5,,,2,1,1,4,2,2,4,1,3,1,1,5,6,4,5,3,3,3,3
AP,1600212,Cutias,,,,,,2,,,,,,,1,,,1,1,1,1,2,,,,2,,2,1,2,1
AP,1600238,Ferreira Gomes,,1,,,1,,,,,3,1,1,1,,1,2,2,2,1,3,1,1,4,1,2,5,1,4,3
AP,1600253,Itaubal,,,,,,,1,,,1,,1,,,2,,,1,1,1,2,,,3,1,,3,2,1
AP,1600279,Laranjal do Jari,,,1,,1,,1,5,,14,1,5,3,15,17,9,6,16,14,24,19,8,6,24,12,15,11,16,19
AP,1600303,Macapá,61,51,91,99,136,109,125,164,131,131,135,132,119,129,125,119,143,115,181,127,156,143,182,188,261,257,296,237,265
AP,1600402,Mazagão,,,1,,1,,2,,1,,4,1,3,2,2,,4,3,4,1,3,3,4,5,6,6,2,8,3
AP,1600501,Oiapoque,4,1,4,4,1,,,1,1,,,2,5,4,2,3,6,10,3,5,8,5,8,8,5,6,12,15,11
AP,1600535,Porto Grande,,2,2,3,3,,7,2,,3,1,6,3,5,10,1,4,4,6,3,6,10,5,9,16,11,10,7,9
AP,1600550,Pracuúba,,,,,,,,,,,,,1,,2,2,1,1,,1,1,,2,,1,,2,,3
AP,1600600,Santana,6,7,13,15,18,26,21,16,21,28,31,33,30,31,31,29,32,28,41,36,36,43,27,36,59,62,74,55,56
AP,1600709,Tartarugalzinho,,,,,1,,4,,,2,4,2,1,1,2,3,3,5,1,2,5,1,2,5,8,9,4,7,4
AP,1600808,Vitória do Jari,,,,,,,,,,,,2,,2,1,2,,2,3,,6,1,1,4,1,2,4,2,4
BA,2900108,Abaíra,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1
BA,2900207,Abaré,1,4,,,1,1,2,3,3,7,6,4,2,3,3,3,7,4,5,4,12,6,7,9,11,3,12,1,5
